-1	4405957
-10	4049940
-100	3
-1000	1
-1004	1
-1008	2
-101	4
-1019	1
-102	2
-103	3
-1035	1
-104	1
-105	3
-106	3
-107	4
-108	7
-1086	1
-1089	1
-109	4
-11	3277144
-110	7
-111	2
-1116	1
-112	1
-113	6
-114	3
-1141	1
-115	2
-1156	2
-116	1
-1161	1
-1162	1
-117	1
-118	1
-1185	1
-1186	1
-1188	1
-119	3
-1194	1
-12	3058816
-120	9
-1204	1
-1205	1
-1208	1
-121	4
-1211	1
-1219	1
-122	6
-1228	1
-123	4
-1232	1
-1233	1
-1236	1
-1237	1
-1238	1
-124	2
-1243	1
-125	12
-1251	1
-1252	1
-1258	1
-126	6
-1263	1
-1265	1
-127	6
-1279	2
-128	3
-1280	1
-1283	1
-1287	1
-129	5
-1290	1
-1295	1
-1298	1
-13	2737906
-130	4
-1302	3
-131	2
-132	1
-134	3
-135	6
-136	1
-137	3
-138	3
-1388	1
-139	1
-1395	1
-14	2400600
-140	2
-1405	1
-1410	1
-142	2
-1426	1
-143	4
-1437	1
-144	3
-145	2
-146	1
-147	1
-148	1
-149	1
-15	2316527
-155	1
-157	4
-158	1
-16	1866779
-160	2
-162	2
-165	2
-167	1
-168	1
-169	1
-17	1662403
-170	1
-172	1
-175	2
-18	1443460
-183	1
-185	2
-186	2
-188	1
-189	1
-19	1229029
-192	2
-194	1
-195	2
-196	1
-197	2
-198	1
-199	1
-2	4852924
-20	1140793
-201	1
-203	2
-205	1
-207	1
-21	901463
-212	2
-22	784365
-221	1
-227	2
-228	1
-23	663740
-230	1
-236	1
-24	557471
-240	2
-245	2
-25	506068
-251	1
-257	1
-258	2
-26	395601
-263	1
-266	1
-27	338581
-272	1
-28	285254
-283	1
-284	1
-289	1
-29	235400
-290	1
-298	1
-3	4888234
-30	214190
-303	1
-308	1
-31	164662
-310	1
-311	2
-312	1
-317	1
-32	140555
-320	1
-323	1
-325	3
-33	117651
-336	1
-338	1
-34	97786
-35	87986
-350	1
-36	68213
-37	58097
-370	2
-377	1
-378	1
-38	48435
-386	1
-387	1
-39	39838
-392	1
-4	4719238
-40	36489
-405	1
-41	27995
-411	2
-412	1
-42	23921
-426	1
-43	19738
-434	1
-436	1
-44	16685
-45	15374
-451	1
-453	1
-46	11799
-466	1
-469	1
-47	10100
-474	1
-475	1
-48	8385
-480	1
-486	1
-489	1
-49	6999
-5	5428718
-50	6331
-502	1
-51	4978
-515	1
-519	1
-52	4291
-520	1
-521	1
-53	3549
-536	1
-54	2948
-549	1
-55	2818
-551	2
-554	1
-559	1
-56	2172
-562	1
-564	1
-568	2
-57	1918
-574	1
-575	1
-579	1
-58	1596
-582	1
-588	1
-59	1301
-590	1
-592	1
-595	1
-599	2
-6	4543612
-60	1260
-607	1
-608	1
-61	941
-610	1
-614	1
-616	1
-62	787
-63	717
-64	550
-649	1
-65	532
-652	2
-658	1
-66	436
-660	1
-661	1
-664	2
-665	1
-667	1
-67	376
-672	1
-673	1
-676	2
-68	333
-687	1
-688	1
-69	269
-690	1
-692	2
-693	1
-699	1
-7	4528090
-70	264
-702	2
-706	1
-708	1
-71	193
-710	2
-715	3
-719	1
-72	185
-720	1
-721	1
-729	1
-73	143
-735	1
-74	124
-741	1
-748	1
-75	129
-751	1
-754	1
-76	92
-761	1
-767	1
-768	1
-77	76
-770	1
-776	1
-778	1
-779	1
-78	66
-780	1
-79	52
-790	1
-793	1
-794	2
-795	1
-8	4261908
-80	66
-802	1
-804	1
-81	45
-812	1
-813	1
-814	1
-818	1
-82	41
-822	1
-823	1
-825	1
-827	1
-828	1
-829	2
-83	31
-830	1
-832	1
-833	1
-834	1
-835	1
-838	1
-84	34
-85	26
-851	1
-852	1
-853	1
-86	32
-864	1
-87	18
-874	1
-88	10
-884	2
-885	1
-89	14
-899	1
-9	3866996
-90	19
-905	1
-907	2
-908	1
-91	13
-910	1
-912	1
-914	1
-92	13
-926	1
-928	1
-929	2
-93	9
-931	1
-932	1
-937	1
-939	1
-94	10
-942	1
-945	2
-95	11
-950	1
-951	1
-953	1
-954	1
-96	6
-960	1
-964	1
-965	1
-966	1
-967	1
-968	1
-97	6
-972	1
-973	1
-974	1
-975	1
-978	1
-98	9
